ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,latitude_decimal_degrees,longitude_decimal_degrees
01AK,heliport,Providence Seward Medical Center Heliport,120,NA,US,US-AK,Seward,01AK,,01AK,60.10587398,-149.446249
01AL,small_airport,Ware Island Airport,344,NA,US,US-AL,Clanton,01AL,,01AL,32.94599915,-86.51390076
01AR,heliport,Community Hospital of De Queen Heliport,400,NA,US,US-AR,De Queen,01AR,,01AR,34.04729843,-94.35489655
01AZ,heliport,Yat Heliport,3300,NA,US,US-AZ,Camp Verde,01AZ,,01AZ,34.60810089,-111.8649979
01C,closed,Grant Airport,815,NA,US,US-MI,Grant,01C,,01C,43.34170151,-85.77500153
01CA,heliport,Lugo Substation Heliport,3733,NA,US,US-CA,Hesperia,01CA,,01CA,34.36824059,-117.3700587
01CL,small_airport,Swansboro Country Airport,2594,NA,US,US-CA,Placerville,01CL,,01CL,38.79990005,-120.7340012
01CN,heliport,Los Angeles County Sheriff's Department Heliport,300,NA,US,US-CA,Los Angeles,01CN,,01CN,34.03779984,-118.1539993
01CO,heliport,St Vincent General Hospital Heliport,10175,NA,US,US-CO,Leadville,01CO,,01CO,39.24530029,-106.2460022
01CT,heliport,Berlin Fairgrounds Heliport,60,NA,US,US-CT,Berlin,01CT,,01CT,41.62730026,-72.72750092
01FA,small_airport,Rybolt Ranch Airport,55,NA,US,US-FL,Orlando,01FA,,01FA,28.58939934,-81.14420319
01FD,heliport,Advent Health Altamonte Springs Heliport,86,NA,US,US-FL,Altamonte Springs,01FD,,01FD,28.666639,-81.3697
01FL,small_airport,Cedar Knoll Flying Ranch Airport,19,NA,US,US-FL,Geneva,01FL,,01FL,28.78190041,-81.15920258
01GA,heliport,Medical Center Heliport,319,NA,US,US-GA,Columbus,01GA,,01GA,32.47930145,-84.97910309
01GE,small_airport,The Farm Airport,375,NA,US,US-GA,Wrightsville,01GE,,01GE,32.67440033,-82.77110291
01IA,small_airport,Stender Airport,725,NA,US,US-IA,Maysville,01IA,,01IA,41.66109848,-90.74130249
01ID,small_airport,Lava Hot Springs Airport,5268,NA,US,US-ID,Lava Hot Springs,01ID,,01ID,42.6082,-112.031998
01II,small_airport,Myers Field,950,NA,US,US-IN,Lizton,01II,,01II,39.88499832,-86.50669861
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,583,NA,US,US-IL,Hoopeston,01IL,,01IL,40.45859909,-87.65950012
01IN,heliport,Community Hospital Heliport,890,NA,US,US-IN,Anderson,01IN,,01IN,40.13090134,-85.69580078
01IS,small_airport,William E. Koenig Airport,670,NA,US,US-IL,Dow,01IS,,01IS,39.01620102,-90.31819916
01J,small_airport,Hilliard Airpark,59,NA,US,US-FL,Hilliard,01J,,01J,30.68630028,-81.90570068
01K,small_airport,Caldwell Municipal Airport,1157,NA,US,US-KS,Caldwell,01K,,01K,37.03609848,-97.58640289
01KS,small_airport,Flying N Ranch Airport,1485,NA,US,US-KS,Lost Springs,01KS,,01KS,38.54059982,-97.00330353
01KY,heliport,Lourdes Hospital Heliport,419,NA,US,US-KY,Paducah,01KY,,01KY,37.05170059,-88.64689636
01LA,small_airport,Barham Airport,90,NA,US,US-LA,Oak Ridge,01LA,,01LA,32.63899994,-91.7736969
01LL,small_airport,Schumaier Restricted Landing Area,555,NA,US,US-IL,Pinckneyville,01LL,,01LL,38.12580109,-89.46389771
01LS,small_airport,Country Breeze Airport,125,NA,US,US-LA,Slaughter,01LS,,01LS,30.70599937,-91.07740021
01MA,heliport,Compaq Andover Heliport,140,NA,US,US-MA,Andover,01MA,,01MA,42.62509918,-71.18009949
01MD,seaplane_base,Annapolis Seaplane Base,,NA,US,US-MD,Annapolis,01MD,,01MD,38.999199,-76.456001
01ME,seaplane_base,Saint Peter's Seaplane Base,608,NA,US,US-ME,Portage Lake,01ME,,01ME,46.77890015,-68.50029755
01MI,heliport,Flow Through Terminal Heliport,736,NA,US,US-MI,Flint,01MI,,01MI,43.04949951,-83.67970276
01MN,seaplane_base,Barnes Seaplane Base,1358,NA,US,US-MN,Cook,01MN,,01MN,47.89960098,-92.55740356
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,615,NA,US,US-MO,Town and Country,01MO,,01MO,38.64170074,-90.48429871
01MT,small_airport,Crystal Lakes Resort Airport,3141,NA,US,US-MT,Fortine,01MT,,01MT,48.78910065,-114.8799973
01NC,small_airport,Topsail Airpark,65,NA,US,US-NC,Holly Ridge,01NC,,01NC,34.47529984,-77.58139801
01NE,small_airport,Detour Airport,3000,NA,US,US-NE,Wellfleet,01NE,,01NE,40.84360123,-100.6529999
01NH,small_airport,Moore Airfield,835,NA,US,US-NH,Canaan,01NH,,01NH,43.6445,-72.086998
01NJ,heliport,Albert Guido Memorial Heliport,10,NA,US,US-NJ,Newark,01NJ,,01NJ,40.7417984,-74.13710022
01NM,small_airport,Champion Ranch Airport,3630,NA,US,US-NM,Artesia,01NM,,01NM,33.008611,-104.540278
01NV,small_airport,Lantana Ranch Airport,4600,NA,US,US-NV,Yerington,01NV,,01NV,38.76390076,-119.0270004
01NY,closed,Vassar Hospital Heliport,100,NA,US,US-NY,Poughkeepsie,,,,41.694187,-73.935582
01OI,heliport,Galion Community Hospital Heliport,1140,NA,US,US-OH,Galion,01OI,,01OI,40.73059845,-82.8015976
01OK,closed,Lawrence Airport,1525,NA,US,US-OK,Eakly,,,,35.294498,-98.636496
01OR,closed,Red & White Flying Service Airport,4346,NA,US,US-OR,Silver Lake,,,,43.119301,-121.044997
01PA,closed,Pine Heliport,1215,NA,US,US-PA,Mars,,,,40.655602,-80.050903
01PN,small_airport,Bierly(Personal Use) Airport,960,NA,US,US-PA,Bellefonte,01PN,,01PN,40.93059921,-77.73889923
01PS,small_airport,Nort's Resort Airport,1040,NA,US,US-PA,Meshoppen,01PS,,01PS,41.59590149,-76.02960205
01SC,small_airport,York Airport,779,NA,US,US-SC,York,01SC,,01SC,35.03210068,-81.25279999
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,630,NA,US,US-TX,Arlington,01TA,,01TA,32.69419861,-97.11579895
01TE,small_airport,Smith Field,505,NA,US,US-TX,Forney,01TE,,01TE,32.73759842,-96.4280014
01TN,small_airport,Colonial Air Park,370,NA,US,US-TN,Collierville,01TN,,01TN,34.9958992,-89.73059845
01TS,closed,St Joseph Hospital Heliport,675,NA,US,US-TX,Fort Worth,,,,32.7285,-97.324501
01TX,small_airport,Mims Farm Ultralightport,610,NA,US,US-TX,Waxahachie,01TX,,01TX,32.38759995,-96.87750244
01U,small_airport,Duckwater Airport,5124,NA,US,US-NV,Duckwater,01U,,01U,38.85160065,-115.6340027
01UT,small_airport,La Sal Junction Airport,6000,NA,US,US-UT,La Sal,01UT,,01UT,38.30830002,-109.3960037
01VA,small_airport,Pickles Airport,500,NA,US,US-VA,Berryville,01VA,,01VA,39.125,-77.92500305
01WA,heliport,Willapa Harbor Heliport,154,NA,US,US-WA,South Bend,01WA,,01WA,46.66320038,-123.8119965
01WI,small_airport,Prehn Cranberry Company Airport,930,NA,US,US-WI,Tomah,01WI,,01WI,44.00999832,-90.3891983
01WN,heliport,Whidbey General Hospital Heliport,103,NA,US,US-WA,Coupeville,01WN,,01WN,48.21340179,-122.6849976
01WT,heliport,Odyssey Heliport,20,NA,US,US-WA,Renton,01WT,,01WT,47.518178,-122.210908
01WY,small_airport,Keyhole Airport,4250,NA,US,US-WY,Moorcroft,01WY,,01WY,44.34719849,-104.810997
01XA,heliport,Seton Medical Center Hays Heliport,715,NA,US,US-TX,Kyle,01XA,,01XA,30.007222,-97.853333
01XS,heliport,Meadowood Ranch Heliport,500,NA,US,US-TX,Athens,01XS,,01XS,32.02019882,-95.74549866
02AK,small_airport,Rustic Wilderness Airport,190,NA,US,US-AK,Willow,02AK,,02AK,61.87689972,-150.0980072
02AL,small_airport,Bass Field,61,NA,US,US-AL,Foley,02AL,,02AL,30.37150002,-87.76439667
02AR,closed,Three Rivers Airport,264,NA,US,US-AR,Little Rock,,,,34.822445,-92.44442
02AZ,closed,Winchester Farm Airstrip,4200,NA,US,US-AZ,Willcox,,,,32.376401,-109.936996
02CA,heliport,Swepi Beta Platform Ellen Heliport,122,NA,US,US-CA,Huntington Beach,02CA,,02CA,33.58250046,-118.1289978
02CD,small_airport,Shannon Field,165,NA,US,US-MS,Clarksdale,02CD,,02CD,34.12960052,-90.52400208
02CL,small_airport,Conover Air Lodge Airport,5160,NA,US,US-CA,Frazier Park,02CL,,02CL,34.761101,-119.058998
02CO,small_airport,Mc Cullough Airport,7615,NA,US,US-CO,Monte Vista,02CO,,02CO,37.6432991,-106.0469971
02CT,heliport,Strangers Point Heliport,540,NA,US,US-CT,Ellington,02CT,,02CT,41.91960144,-72.44450378
02FA,small_airport,Osborn Airfield,121,NA,US,US-FL,Groveland,02FA,,02FA,28.52669907,-81.87480164
02FL,closed,Cuchens Airport,215,NA,US,US-FL,Defuniak Springs,,,,30.642527,-86.118779
02GA,small_airport,Doug Bolton Field,884,NA,US,US-GA,Commerce,02GA,,02GA,34.20259857,-83.42900085
02GE,small_airport,Etowah Fields Airport,710,NA,US,US-GA,Euharlee,02GE,,02GE,34.1753006,-84.92440033
02HI,heliport,K3 Helipad Heliport,9,NA,US,US-HI,Pearl Harbor,02HI,,02HI,21.36199951,-157.951004
02IA,heliport,Boone County Hospital Heliport,1160,NA,US,US-IA,Boone,02IA,,02IA,42.05609894,-93.87799835
02ID,small_airport,Morgan Ranch Airport,5634,NA,US,US-ID,Cascade,02ID,,02ID,44.55550003,-115.3050003
02II,small_airport,King Ultralightport,925,NA,US,US-IN,Westfield,02II,,02II,40.06230164,-86.21050262
02IN,small_airport,Diamond P. Field,904,NA,US,US-IN,Muncie,02IN,,02IN,40.20890045,-85.540802
02IS,heliport,Condell Medical Center Heliport,762,NA,US,US-IL,Libertyville,02IS,,02IS,42.27460098,-87.95729828
02KS,small_airport,Jmj Landing Airport,1170,NA,US,US-KS,St Marys,02KS,,02KS,39.22219849,-96.05529785
02KT,heliport,St Claire Healthcare Heliport,781,NA,US,US-KY,Morehead,02KT,,02KT,38.181441,-83.443319
02KY,heliport,Boone National Guard Heliport,760,NA,US,US-KY,Frankfort,02KY,,02KY,38.1833992,-84.89990234
02LA,heliport,La State Police Troop G Heliport,168,NA,US,US-LA,Bossier City,02LA,,02LA,32.53129959,-93.66020203
02LS,heliport,Windy Hill Heliport,25,NA,US,US-LA,Broussard,02LS,,02LS,30.14830017,-91.91899872
02MA,heliport,Cuttyhunk Heliport,9,NA,US,US-MA,Gosnold,02MA,,02MA,41.41960144,-70.92700195
02MD,small_airport,Garner Field,141,NA,US,US-MD,Brandywine,02MD,,02MD,38.672544,-76.709739
02ME,small_airport,Nadeau's Airfield,700,NA,US,US-ME,Acton,02ME,,02ME,43.5373,-70.929397
02MI,small_airport,Fairplains Airpark,850,NA,US,US-MI,Greenville,02MI,,02MI,43.15710068,-85.14849854
02MN,small_airport,Greenbush Municipal Airport,1070,NA,US,US-MN,Greenbush,02MN,,02MN,48.68330002,-96.19200134
02MO,small_airport,Troy Airpark,650,NA,US,US-MO,Troy,02MO,,02MO,39.04999924,-91.03350067
02MS,small_airport,Watts Field,153,NA,US,US-MS,Rochdale,02MS,,02MS,34.10010147,-90.84680176
02MT,closed,Barrett Field,3350,NA,US,US-MT,Cascade,,,,47.2374,-111.74304
02MU,closed,Timber Line Airpark,1550,NA,US,US-MO,Cassville,,,,36.654233,-93.797418
02NC,heliport,Race City Heliport,809,NA,US,US-NC,Landis,02NC,,02NC,35.541111,-80.597778
02NE,small_airport,Benes Service Airport,1550,NA,US,US-NE,Valparaiso,02NE,,02NE,41.07450104,-96.90450287
02NH,seaplane_base,Iroquois Landing Seaplane Base,1180,NA,US,US-NH,Dummer,02NH,,02NH,44.65710068,-71.21910095
02NJ,heliport,Penske Heliport,78,NA,US,US-NJ,Piscataway,02NJ,,02NJ,40.55730057,-74.46710205
02NV,small_airport,Paiute Meadows Airport,4443,NA,US,US-NV,Winnemucca,02NV,,02NV,41.30329895,-118.5979996
02NY,heliport,Hansen Heliport,435,NA,US,US-NY,Durhamville,02NY,,02NY,43.13259888,-75.65550232
02OH,small_airport,Zimmerman Airport,614,NA,US,US-OH,Fremont,02OH,,02OH,41.37639999,-83.08329773
02OI,small_airport,Murtha Airport,950,NA,US,US-OH,Conneaut,02OI,,02OI,41.80199814,-80.56539917
02OK,closed,Canon Heliport,1191,NA,US,US-OK,Oklahoma City,,,02OK,35.458401,-97.525297
02OR,small_airport,Rowena Dell Airport,705,NA,US,US-OR,The Dalles,02OR,,02OR,45.68149948,-121.3160019
02P,heliport,Stottle Memorial Heliport,591,NA,US,US-PA,Honey Grove,,,02P,40.403596,-77.556602
02PA,heliport,Lag Iii Heliport,1070,NA,US,US-PA,Monroeville,02PA,,02PA,40.43830109,-79.76999664
02PN,heliport,Peco Berwyn Heliport,390,NA,US,US-PA,Berwyn,02PN,,02PN,40.06959915,-75.4552002
02PR,small_airport,Cuylers Airport,15,NA,PR,PR-U-A,Vega Baja,02PR,,02PR,18.45330048,-66.36689758
02PS,small_airport,Hughes Ultralightport,1700,NA,US,US-PA,Tioga,02PS,,02PS,41.90060043,-77.2303009
02SC,small_airport,Harpers Airport,111,NA,US,US-SC,Estill,02SC,,02SC,32.75849915,-81.22480011
02T,small_airport,Wise River Airport,5830,NA,US,US-MT,Wise River,02T,,02T,45.76910019,-112.9820023
02TA,heliport,Matagorda Shore Facility Heliport,5,NA,US,US-TX,Matagorda,02TA,,02TA,28.72139931,-95.87380219
02TE,heliport,Baylor Medical Center Heliport,560,NA,US,US-TX,Waxahachie,02TE,,02TE,32.395401,-96.86419678
02TN,small_airport,Ellis Field,840,NA,US,US-TN,Murfreesboro,02TN,,02TN,35.7806015,-86.584198
02TS,closed,FWOMC Heliport,684,NA,US,US-TX,Fort Worth,,,,32.747601,-97.370003
02TX,small_airport,The Palms At Kitty Hawk Airport,3235,NA,US,US-TX,New Home,02TX,,02TX,33.37040329,-101.9228821
02UT,small_airport,Lucin Airport,4412,NA,US,US-UT,Lucin,02UT,,02UT,41.36629868,-113.8430023
02VA,small_airport,The Greenhouse Airport,320,NA,US,US-VA,Culpeper,02VA,,02VA,38.43569946,-77.85720062
02VG,heliport,Northstar Aviation Heliport,1850,NA,US,US-VA,Bristol,02VG,,02VG,36.63880157,-82.11669922
02WA,small_airport,Cawleys South Prairie Airport,690,NA,US,US-WA,South Prairie,02WA,,02WA,47.15230179,-122.0940018
02WI,small_airport,Beer Airport,920,NA,US,US-WI,Hudson,02WI,,02WI,45.0318985,-92.65579987
02WN,small_airport,Fowler Field,2150,NA,US,US-WA,Tonasket,02WN,,02WN,48.74580002,-119.3190002
02XA,small_airport,JLS Farms Airport,675,NA,US,US-TX,Honey Grove,02XA,,02XA,33.591319,-95.882864
02XS,closed,Seidel Ranch Airport,510,NA,US,US-TX,Elroy,02XS,,02XS,30.147699,-97.662804
03AA,heliport,Trapper T Heliport,159,NA,US,US-AK,Palmer,03AA,,03AA,61.556055,-149.284527
03AK,seaplane_base,Joe Clouds Seaplane Base,150,NA,US,US-AK,Kenai,03AK,,03AK,60.72722244,-151.132782
03AL,heliport,Highland Medical Center Heliport,628,NA,US,US-AL,Scottsboro,03AL,,03AL,34.662604,-86.046774
03AR,heliport,Hscmh Heliport,350,NA,US,US-AR,Malvern,03AR,,03AR,34.35760117,-92.78849792
03AZ,small_airport,Thompson International Aviation Airport,4275,NA,US,US-AZ,Hereford,03AZ,,03AZ,31.4333992,-110.0839996
03CA,heliport,Grossmont Hospital Heliport,634,NA,US,US-CA,La Mesa,03CA,,03CA,32.779484,-117.006952
03CO,small_airport,Kugel-Strong Airport,4950,NA,US,US-CO,Platteville,03CO,,03CO,40.21250153,-104.7440033
03FA,small_airport,Lake Persimmon Airstrip,70,NA,US,US-FL,Lake Placid,03FA,,03FA,27.35309982,-81.40809631
03FD,closed,Tharpe Airport,115,NA,US,US-FL,Bonifay,,,,30.8288,-85.731003
03FL,heliport,Ranger Heliport,20,NA,US,US-FL,West Palm Beach,03FL,,03FL,26.68370056,-80.18730164
03GA,small_airport,HIA Airport,238,NA,US,US-IN,Statesboro,03GA,,03GA,32.5623056,-81.8576944
03I,closed,Clarks Dream Strip,680,NA,US,US-OH,Circleville,,,,39.644199,-83.018204
03IA,small_airport,East Field,954,NA,US,US-IA,Montezuma,03IA,,03IA,41.58190155,-92.46130371
03ID,small_airport,Flying Y Ranch Airport,3180,NA,US,US-ID,Council,03ID,,03ID,44.79430008,-116.5329971
03II,small_airport,Davis Field Ultralightport,465,NA,US,US-IN,Mount Vernon,03II,,03II,37.9620018,-87.77890015
03IL,small_airport,Wix Airport,750,NA,US,US-IL,Monee,03IL,,03IL,41.40230179,-87.8167038
03IN,small_airport,Heinzman Airport,850,NA,US,US-IN,Arcadia,03IN,,03IN,40.18000031,-86.01249695
03IS,heliport,OSF St Anthony's Health Center Heliport,580,NA,US,US-IL,Alton,03IS,,03IS,38.904999,-90.173401
03KS,heliport,Valley Grain Heliport,1160,NA,US,US-KS,Highland,03KS,,03KS,39.86470032,-95.26409912
03KY,small_airport,Flying H Farms Airport,385,NA,US,US-KY,Henderson,03KY,,03KY,37.79169846,-87.54139709
03LA,heliport,Damien Heliport,25,NA,US,US-LA,Carville,03LA,,03LA,30.19960022,-91.12789917
03LS,heliport,Fmc Nr 1 Heliport,79,NA,US,US-LA,Winnsboro,03LS,,03LS,32.1590004,-91.70800018
03M,seaplane_base,Lakeside Marina Seaplane Base,165,NA,US,US-ME,East Winthrop,03M,,03M,44.32089996,-69.88950348
03MA,small_airport,Hadley Airport,150,NA,US,US-MA,Hadley,03MA,,03MA,42.39310074,-72.55200195
03MD,heliport,Upper Chesapeake Medical Center Heliport,302,NA,US,US-MD,Bel Air,03MD,,03MD,39.52249908,-76.3266983
03ME,small_airport,Maple Ridge Airport,556,NA,US,US-ME,Harrison,03ME,,03ME,44.08420181,-70.62729645
03MI,heliport,Harold Miller Heliport,585,NA,US,US-MI,Bay City,03MI,,03MI,43.55089951,-83.86219788
03MN,small_airport,Nauerth Land Ranch Airport,1435,NA,US,US-MN,Lakefield,03MN,,03MN,43.62519836,-95.22470093
03MO,closed,Cahoochie Airport,1010,NA,US,US-MO,Urbana,,,,37.884499,-93.131599
03MS,heliport,Vicksburg Medical Center Heliport,110,NA,US,US-MS,Vicksburg,03MS,,03MS,32.31880188,-90.8832016
03MT,small_airport,Cascade Field,3580,NA,US,US-MT,Cascade,3MT7,,3MT7,47.267327,-111.71748
03MU,small_airport,Mc Donnell Airport,874,NA,US,US-MO,Archie,03MU,,03MU,38.49250031,-94.41249847
03N,small_airport,Utirik Airport,4,OC,MH,MH-UTI,Utirik Island,K03N,UTK,03N,11.222,169.852005
03NC,small_airport,Pilots Ridge Airport,35,NA,US,US-NC,Carolina Beach,03NC,,03NC,34.10430145,-77.90419769
03ND,small_airport,Olafson Brothers Airport,1045,NA,US,US-ND,Edinburg,03ND,,03ND,48.62639999,-97.82900238
03NE,small_airport,Hyde Ranch Airport,2430,NA,US,US-NE,Comstock,03NE,,03NE,41.54639816,-99.33119965
03NH,heliport,Lorden Heliport,400,NA,US,US-NH,Milford,03NH,,03NH,42.81539917,-71.12439728
03NJ,closed,At&T Heliport,360,NA,US,US-NJ,Berkeley Heights,,,,40.668713,-74.410152
03NV,small_airport,Llama Ranch Airport,6120,NA,US,US-NV,Ruby Valley,03NV,,03NV,40.58440018,-115.2979965
03NY,small_airport,Talmage Field,95,NA,US,US-NY,Riverhead,03NY,,03NY,40.95840073,-72.71679688
03OH,small_airport,Gibbs Field,580,NA,US,US-OH,Fremont,03OH,,03OH,41.41839981,-83.01740265
03OI,heliport,"Cleveland Clinic, Marymount Hospital Heliport",890,NA,US,US-OH,Garfield Heights,03OI,,03OI,41.420312,-81.599552
03OK,small_airport,Sahoma Lake Airport,890,NA,US,US-OK,Sapulpa,03OK,,03OK,36.04119873,-96.16139984
03OR,small_airport,Powwatka Ridge Airport,3340,NA,US,US-OR,Troy,03OR,,03OR,45.85540009,-117.4840012
