Agency Name,DSGN_CODE,DBA,Cert_No,Address Line 1,Address Line 2,Address Line 3,City,State/Province,Country ,Postal Code,Agency Phone Number,Agency Email,Accountable Manager,Accountable Manager Phone Number,Accountable Manager Email,Liaison,Liaison Phone Number,Liaison Email,Rating - Accessory,Rating - Airframe,Rating - Instrument,Rating - Limited,Rating - Powerplant,Rating - Propeller,Rating - Radio,Bilateral Agreements,Update_Date,
A PLUS AVIONICS CORP,5AXR,,5AXR435B,7240 HAYVENHURST AVENUE,,,VAN NUYS,CA,UNITED STATES,91406,,,"BOSTANI, FARSHAD",3106490400 EXT. 115,fbostani@aavionics.com,"BOSTANI, FARSHAD",3106490400 EXT. 115,fbostani@aavionics.com,,Limited,Limited,,,,Limited,,3/9/2026,
A PROFESSIONAL AVIATION SERVICES CORP.,79AR,,79AR239B,6270 NW 37TH. AVENUE,,,MIAMI,FL,UNITED STATES,33147,,,"VAQUERANO, WILBERT",7868088640,cperez@apas1.net,MICHAEL HERNANDEZ,7863100880,michaelh@apas1.net,"Class 1, Class 2, Class 3","Class 1, Class 2, Class 3, Class 4, Limited",Limited,"Landing Gear, NonDestructiveTst",,,Limited,"EASA, United Kingdom",3/9/2026,
A PROFESSIONAL AVIATION SERVICES SPA,APAY,DBA APAS CHILE SPA,APAY048E,AV.  DIEGO BARROS ORTIZ NO. 2074,"AEROPUERTO AMB, PUDAHUEL",,SANTIAGO,,CHILE,,56998986888,,"MAGGI, ALFONSO",,amaggi@apas1.com,"HERNANDEZ, PABLO",,phernandez@apas1.com,Limited,Limited,,NonDestructiveTst,,,Limited,,3/9/2026,
A SYSTEM HYDRAULICS INC,A0YR,,A0YR197L,7885 NW 56 STREET,,,MIAMI,FL,UNITED STATES,33166,,,"WILLIAMS, JAMES P",,,"WILLIAMS, JAMES",3054774212,asyshyd@bellsouth.net,"Class 1, Class 2",,,,,,,EASA,3/9/2026,
A-TEC AIRCRAFT MAINTENANCE CENTER,9F1R,,9F1R995C,309 AIRPORT ROAD,HANGAR 309 RAVALLI COUNTY AIRPORT (,,HAMILTON,MT,UNITED STATES,59840,4069617075,ken@atec-amc.com,"WEINHEIMER, KENNETH",4069617075,ken@atec-amc.com,"KENNETH, J. WEINHEIMER",4069617075,ken@atec-amc.com,,Limited,,,Limited,,,,3/9/2026,ken@atec-amc.com
A. C. PROPELLER SERVICE INC,AF4R,,AF4R048M,925 SOUTH NEBRASKA STREET,,,SEATTLE,WA,UNITED STATES,98108,,,"IDLER, JEREMY",,,"IDLER, JEREMY",2067621225,jeremy@acpropeller.com,Limited,,,NonDestructiveTst,,"1, 2, Limited",,,3/9/2026,
A. E. S. AIRPLANE - EQUIPMENT & SERVICES GMBH,QE7Y,,QE7Y050X,GRAF-ZEPPELIN STR. 24,,,COLOGNE,,GERMANY,51147,02203988950,willy.reinhardt@aes-services.de,"KUSSEROW, FRANK",0114922419517626,,"ARZENHEIMER, ANDREE",,andree.arzenheimer@aes-services.de,Limited,Limited,,,,,,,3/9/2026,willy.reinhardt@aes-services.de
A&M AVIATION LLC,8G8R,,8G8R177D,2930 N. OK HWY - 99,"STROUD MUNICIPAL AIRPORT, HANGAR 3",,STROUD,OK,UNITED STATES,74079,4056272331,marvin@amaerospace.biz,"PITMAN, MARVIN",4056272331,,MARVIN PITMAN,4056272331,marvin@amaerospace.biz,Limited,Limited,Limited,"Landing Gear, NonDestructiveTst",Limited,,Limited,"EASA, TCCA (Canada)",3/9/2026,marvin@amaerospace.biz
"A&P INTERNATIONAL SERVICES, S.A.P.I. DE C.V.",APLY,"DBA AVIATION INTEGRATED SERVICES
   SERVICES GROUP (AISG)",APLY173E,"TERMINAL ASUR 1, TERRENOS 1015 Y 10","LADO AIRE DEL AEROPUERTO, AEROPUERT",,CANCUN,QI,MEXICO,77500,,,"TEODORO, ANTONIO",,,ERNESTO MEDRANO,,ernesto.medrano@aisg.aero,,Limited,,,Limited,,,,3/9/2026,
A&P PLUS STRUCTURES INC,QC7R,,QC7R082Y,3487 NW 167TH STREET,,,MIAMI GARDENS,FL,UNITED STATES,33056,,,"LOPEZ, JOHN R.",9542452630,,"LOPEZ, JOHN ROBERT",9543853904,john.lopez@flightlogistics.com,,Limited,,,,,,EASA,3/9/2026,
AAC AMERICAN AEROSPACE CORPORATION,Y0AR,DBA AMERICAN AEROSPACE,Y0AR178X,1301 SARATOGA STREET,,,DELAND,FL,UNITED STATES,32724,3868229550,andy@america.aero,"SALERNO, ANDREW C.",,,"SALERNO, ANDY",3868229550 EXT. 110,andy@america.aero,Limited,,,SpecializedService,,,,EASA,3/9/2026,andy@america.aero
AAI AERO INC,V09R,DBA NONE,V09R778Y,"7998 AMERICAN WAY, SUITE A",,,DAPHNE,AL,UNITED STATES,36526,,,"SCHARLES, STEVEN GLENN",2514450923,,"SCHARLES, STEVEN GLENN",2514450923,steven@aaiaero.com,"Class 1, Class 2, Class 3",,"Class 1, Class 2, Class 4",,,,,"EASA, United Kingdom",3/9/2026,
AAL LTD.,1KGY,,1KGY741C,FLUGHAFENSTRASSE 11,,,ALTENRHEIN,,SWITZERLAND,9423,+41 71 85 85 185,,"RODE, NATASCHE",+41 71 85 85 185,n.rode@aal.aero,CHRISTOPH MÜLLER,,c.mueller@aal.aero,Limited,Limited,,,Limited,,,,3/9/2026,
AAR AIRCRAFT COMPONENT SERVICES,QT1Y,,QT1Y438K,KRUISWEG 705,,,HOOFDDORP,,NETHERLANDS,2132 ND,01131206552222,,"KOSTER, ARNOLD",,,"VERSTEEG, THEO",,theo.versteeg@aarcorp.com,"Class 3, Limited",Limited,Limited,Landing Gear,,,Limited,,3/9/2026,
AAR AIRCRAFT SERVICES INC,I6XR,,I6XR049Y,2825 WEST PERIMETER ROAD,,,INDIANAPOLIS,IN,UNITED STATES,46241,,,"SAUER, KELLY",,,"LACHNER, MIKE",3172275420,michael.lachner@aarcorp.com,,"Class 4, Limited",Limited,"NonDestructiveTst, SpecializedService",Limited,,Limited,TCCA (Canada),3/9/2026,
,JR2R,DBA AAR AIRCRAFT SERVICES--OKLAHOMA,JR2R936K,6611 S MERIDIAN,,,OKLAHOMA CITY,OK,UNITED STATES,73159,4052183000,,"LENTZ, LEVI",,,"CONN, KENNETH",4052183433,kenneth.conn@aarcorp.com,Limited,Limited,Limited,"NonDestructiveTst, SpecializedService",Limited,,Limited,"EASA, United Kingdom",3/9/2026,
,XE4R,DBA AAR AIRCRAFT SERVICES-MIAMI,XE4R645M,5300 N.W. 36TH STREET,BLDG. 850 & 857 (WASH RACK),,MIAMI,FL,UNITED STATES,33122,,,"LOOMER, BRIAN",,,"MACRE, BEN",7862654282,ben.macre@aarcorp.com,,"Class 4, Limited",Limited,NonDestructiveTst,Limited,,Limited,EASA,3/9/2026,
"AAR AIRCRAFT SERVICES, INC",4A9R,"DBA AAR AIRCRAFT SERVICES
   SERVICES ROCKFORD",4A9R752C,6150 CESSNA DRIVE,,,ROCKFORD,IL,UNITED STATES,61109,7795134000,,"PRIMUS, TROY",,,CHRIS WOLF,,chris.wolf@aarcorp.com,,Limited,Limited,NonDestructiveTst,Limited,,Limited,"EASA, TCCA (Canada)",3/9/2026,
AAR ALLEN SERVICES INC,OB2R,"DBA AAR COMPONENT SERVICES
   SERVICES - WELLINGTON",OB2R051L,411 NORTH WEST ROAD,,,WELLINGTON,KS,UNITED STATES,67152,6203262235,,"MURRELL, BEN",3168822896,ben.murrell@aarcorp.com,STEPHANIE OHL,6203260013,stephanie.ohl@aarcorp.com,"Class 1, Class 2, Class 3",Limited,,NonDestructiveTst,Limited,,,"EASA, United Kingdom",3/9/2026,
"AAR COMPONENT SERVICES - HOT SPRINGS, LLC.",AN0R,,AN0R321N,115 CENTENNIAL DR.,,,HOT SPRINGS,AR,UNITED STATES,71913,5012621555,,"KINDER, JIMMY",,,"ROSENBERGER, LUKE",5017677108,luke.rosenberger@aarcorp.com,Limited,Limited,,"NonDestructiveTst, SpecializedService",,,,"EASA, United Kingdom",3/9/2026,
AAR COMPONENT SERVICES THAILAND LTD.,UAPY,,UAPY522Y,700/160 MOO 1,"T. BANKAO, A. PANTONG",,CHONBURI,,THAILAND,20160,,,"SHAH, RAHUL",,,"PHONSAI, NIPHON",,niphon.phonsai@aarcorp.com,Limited,Limited,,NonDestructiveTst,,,,,3/9/2026,
AAR COMPONENT SERVICES- GRAND PRAIRIE INC,GPYR,,GPYR474X,1038 SANTERRE DRIVE,,,GRAND PRAIRIE,TX,UNITED STATES,75050,,dennis.linde@gmail.com,"WITTE, BRANDON",,,"MULLENS, TROY J",9726239313,tmullens@triumphgroup.com,"Class 1, Class 2, Class 3",Limited,,"NonDestructiveTst, SpecializedService",Limited,,,"EASA, United Kingdom",3/9/2026,dennis.linde@gmail.com
"AAR GOVERNMENT SERVICES, INC",QW1R,,QW1R441K,8001 WESTSIDE INDUSTRIAL DR.,,,JACKSONVILLE,FL,UNITED STATES,32219,6305069003,art.smih@aarcorp.com,"SMITH, ART",,,,,,Limited,,,,,,,EASA,3/9/2026,art.smih@aarcorp.com
AAT AIRCRAFT MAINTENANCE LLC,Z5ZR,DBA AVIATION MAINTENANCE PROFESSIONALS,Z5ZR790B,5080 S. COLLINS STREET,SUITE 104,,ARLINGTON,TX,UNITED STATES,76018,2147580474,jbalzer@avmxpros.com,"BALZER, JAMES  MR.",,jbalzer@avmxpros.com,"MAY, KEVIN",2147580474,kmay@avmxpros.com,,Limited,,,Limited,,,,3/9/2026,jbalzer@avmxpros.com
AAXICO TECHNICAL SERVICES INC,8XAR,DBA PROPONENT TECHNICAL SERVICES,8XAR912B,"10601 STATE STREET, SUITE 1",,,TAMARAC,FL,UNITED STATES,33321,,,"BEYERSBERGEN, FRANK",,,FRANK BEYERSBERGEN,9542472851,fbeyersbergen@proponent.com,Limited,,Limited,Equipment,,,,EASA,3/9/2026,
AB AVIATION LLC,2BKR,,2BKR316R,829 RONALD WOOD ROAD,,,WINDER,GA,UNITED STATES,30680,7705342729,lillian@abaviation.net,"TODD, LILLIAN WILSON",,,"TODD, LILLIAN WILSON",,lillian@abaviation.net,,Limited,Limited,,,,Limited,,3/9/2026,lillian@abaviation.net
"ABBOTT AIRCRAFT SALES AND SERVICE, LLC",5ATR,DBA ABBOTT AVIATION TECHNOLOGIES,5ATR073B,510 AIRPORT ROAD,,,JEFFERSON CITY,MO,UNITED STATES,65101,5737613331,jwabbott83@aol.com,"ABBOTT, JONATHAN W.",5737613331,jwabbott83@aol.com,"ABBOTT, JONATHAN W.",5737613331,jwabbott83@aol.com,,,Limited,,,,Limited,,3/9/2026,jwabbott83@aol.com
ABC INTERCARGO LLC,INTR,DBA ABC INTERCARGO,INTR289E,"2700 GLADES CIRCLE, SUITE 124",,,WESTON,FL,UNITED STATES,33327,0,leyde@abcintercargo.com,"LEYDE, PARDO",,,LEYDE PARDO,,leyde@abcintercargo.com,,,Limited,,,,,,3/9/2026,leyde@abcintercargo.com
ABERDEEN FLYING SERVICE INC,LZ2R,,LZ2R996K,ABERDEEN REGIONAL AIRPORT,4430 E. HIGHWAY 12,,ABERDEEN,SD,UNITED STATES,57401,6052251384,afsdo@nvc.net,"CAVEN, CHARLES",,,DAVID VICKARYOUS,6052251384,afsdom@nvc.net,,Limited,,,Limited,,,,3/9/2026,afsdo@nvc.net
ABL S.R.L.,4A6Y,,4A6Y352C,VIA MONTE D'ORO 31 BIS/B,,,POMEZIA,,ITALY,00071,,,"DENARO, LEONARDO",,,"FIORDELLI, ANTONIO",,quality@ablsrl.com,Limited,Limited,,,,,Limited,,3/9/2026,
ABL SRL BRANCH,48LY,,48LY432D,"LOGISTICS PARK. A13-3, A13-4 & A13-",ABU DHABI ZAYED INTERNATIONAL AIRPO,,ABU DHABI,,UNITED ARAB EMIRATES,,+971564506593,,"DENARO, GIULIO",+971 56 450 65,,,,,Limited,,,"Equipment, Floats",,,,,3/9/2026,
ABLE AEROSPACE SERVICES INC,A1LR,"DBA AAS
DBA ABLE",A1LR190N,7706 E. VELOCITY WAY,,,MESA,AZ,UNITED STATES,85212,6023041227,,"HOVERSON, YURI",6024438306,yuri.hoverson@ableaerospace.com,"RAMIREZ, DANIEL",6023041227,daniel.ramirez@ableaerospace.com,Limited,Limited,Limited,"Landing Gear, NonDestructiveTst, Rotor Blades, SpecializedService",Limited,,Limited,EASA,3/9/2026,
ABNEY AIRCRAFT PROPELLER LLC,8NYR,,8NYR411D,106A OAK STREET,,,CROSSETT,AR,UNITED STATES,71635,,,"ABNEY, TIMOTHY LEE",,,TIMOTHY ABNEY,,abneyaircraftpropeller@outlook.com,,,,,,Limited,,,3/9/2026,
ABOVE AND BEYOND REPAIR STATION LLC,XB6R,DBA NONE,XB6R677J,2111 E SMOKY ROW,,,CARMEL,IN,UNITED STATES,46032,,,"HOFFBAUER, RUTHANA",,,"HOFFBAUER, RUTHANA",,ruthie.hoffbauer@gmail.com,,Limited,,,,,,,3/9/2026,
ABOVE GROUND LEVEL AEROSPACE CORP.,4G4R,,4G4R357D,12220 SW 129TH COURT,,,MIAMI,FL,UNITED STATES,33186,3057132629,daracena@aglaerospace.com,"ARACENA, DORYS",3057132629,daracena@aglaerospace.com,DORYS ARACENA,3057132629,,Limited,Limited,,,,,,"EASA, United Kingdom",3/9/2026,daracena@aglaerospace.com
ABOVE VIEW JET CENTER INC,8VWR,,8VWR443D,4196 S. AIRPORT PARKWAY UNIT 2A,,,ST. GEORGE,UT,UNITED STATES,84790,4356882111,support@aboveviewfbo.com,"HANSEN, JUSTIN",4356882111,supprot@aboveviewfbo.com,JUSTIN HANSEN,4356882111,support@aboveviewfbo.com,,,Limited,,,,Limited,,3/9/2026,support@aboveviewfbo.com
ABRASIVE FINISHING COMPANY,X7BR,,X7BR719N,14920 SOUTH MAIN STREET,,,GARDENA,CA,UNITED STATES,90248,,,"RIVERA, EDWARD C.",,,"RIVERA, EDWARD",3103237175,edward@afco.la,,,,SpecializedService,,,,,3/9/2026,
ABS AVIONICS INC,485R,,485R359D,4900 OLD PHOENIX AVE.,,,FORT SMITH,AR,UNITED STATES,72903,4794016710,al.avionics@gmail.com,"HOSIER, ALAN R.",,,BILL SCHREIBER,4792593235,,Limited,Limited,Limited,,,,Limited,,3/9/2026,al.avionics@gmail.com
ABSOLUTE AVIATION LLC,6BVR,,6BVR153C,635 AIR PARK ROAD,,,EDGEWATER,FL,UNITED STATES,32132,3868471734,stevez@absoluteaviationllc.com,"ZIMMER, STEPHEN",,,"ZIMMER, STEPHEN D.",3868471734,stevez@absoluteaviationllc.com,Limited,Limited,Limited,,,,Limited,,3/9/2026,stevez@absoluteaviationllc.com
"ABSOLUTE AVIATION SERVICES, LLC",VQJR,DBA ABSOLUTE AVIATION SERVICES,VQJR937X,2416 CHENEY SPOKANE ROAD,,,CHENEY,WA,UNITED STATES,99004,5097472904,absolute@absoluteaviation.com,"HERNDON, SEAN",999-999-9999,,"FULLER, SEAN",5097472904,shaunf@absoluteaviation.com,Limited,,Limited,,,,Limited,"EASA, United Kingdom",3/9/2026,absolute@absoluteaviation.com
"ABTEC HELICOPTERS, LLC",CPGR,,CPGR949C,16032 COUNTY ROAD 142,,,BRAINERD,MN,UNITED STATES,56401,2188295484,brads@brainerdhelicopters.net,"MCDERMOTT, JEFFREY W",2188295484,jeff@chemairhelicopters.com,,,,Limited,Limited,,,Limited,,,,3/9/2026,brads@brainerdhelicopters.net
ABU DHABI AVIATION,E6AY,,E6AY817J,ZAYED INTERNATIONAL AIRPORT,NEXT TO TERMINAL 2,,ABU DHABI,,UNITED ARAB EMIRATES,,+97125758000,,"AL ROMAITHI, MOHAMED SAEED",971506111,m.alromaithi@ada.ae,"MURRAY, DERRICK",,d.bmurray@ada.ae,Limited,Limited,Limited,"Equipment, Floats, NonDestructiveTst, Rotor Blades",Limited,,Limited,,3/9/2026,
ABW HONG KONG LIMITED,4VHY,,4VHY213D,"UNIT 620, BONJOUR TOWER",36-50 WANG WO TSAI STREET,,TSUEN WAN,,HONG KONG,,,,"LAM, CHIN SING BENJAMIN",,,SHIH SHAN KUANG (JONATHAN),8529159991,jshih@abwhongkong.com,Limited,,,,,,,,3/9/2026,
AC SERVICES LLC.,KNLR,,KNLR562E,2282 AIRPORT RD,HANGER 2,,SELMER,TN,UNITED STATES,38375,,,"BRENT, CARROLL A.",,,ADAM B CARROLL,7316109265,brentc38@gmail.com,Limited,Limited,,,Limited,,,,3/9/2026,
"ACADIANA AIRCRAFT INTERIORS, LLC.",84CR,,84CR294D,"299 HANGAR ROAD, HANGAR B5",,,OPELOUSAS,LA,UNITED STATES,70570,,,"RICHARD, ANGELLA T.",3372773953,,ANGELLA T. RICHARD,3372773953 EXT. 101,info@acadianaaircraftinteriors.com,,Limited,,,,,,,3/9/2026,
ACC COLUMBIA JET SERVICE GMBH,ACCY,,ACCY939D,"HANGAR 16, BENKENDORFFSTRASSE 38",,,LANGENHAGEN,,GERMANY,D-30855,,,"KINITZ, CHRISTIAN",,,ANDREAS DIEHL,,a.diehl@acc-columbiajet.com,Limited,Limited,,"Landing Gear, NonDestructiveTst",,,,,3/9/2026,
ACC-U-NAP NIGHT VISION SOLUTIONS LLC,4ANR,,4ANR843B,41 COMMONS BLVD,,,CLIFTON PARK,NY,UNITED STATES,12065,5188591799,napnightvision@gmail.com,"NAPOLITANO, PHILLIP",5188591799,,"ACCUOSTI, WILLIAM T.",,"baccuosti@gmail.com, baccuosti@yahoo.com",Limited,,,,,,,,3/9/2026,napnightvision@gmail.com
"ACCEL AVIATION ACCESSORIES, LLC",T3VR,,T3VR840N,11900 LACY LANE,,,FORT MYERS,FL,UNITED STATES,33966,2392758202,,"MIX, SCOTT",,,DAVID KELLY,2392441287,david.kelly@standardaero.com,"Class 1, Class 2",,,,,,,EASA,3/9/2026,
ACCESSORIES INC OF WICHITA,TM2R,,TM2R192L,4123 WEST MAY,,,WICHITA,KS,UNITED STATES,67209,3169460701,wayne@accessories-inc.com,"TOMAN, WAYNE",3169460701,wayne@accessories-inc.com,"TOMAN, WAYNE",3169460701,wayne@accessories-inc.com,"Class 1, Class 2",,,,,,,EASA,3/9/2026,wayne@accessories-inc.com
ACCESSORY AERO GROUP LLC,6RGR,,6RGR120D,3A2 N. PKWY,,,ZEBULON,GA,UNITED STATES,30295,6786928605,rbyrd@aagatlanta.com,"BYRD, RONALD M. JR.",7704804285,,RON BYRD,6786928605,rbyrd@aagatlanta.com,Limited,,,NonDestructiveTst,,,,EASA,3/9/2026,rbyrd@aagatlanta.com
ACCESSORY SERVICES INC,V3ZR,,V3ZR355Y,6300 CARL BRADY DR.,,,ANCHORAGE,AK,UNITED STATES,99502,9072401210,accessoryservices@gci.net,"WINDLE BEAM, SUSAN",9079294556,sue@accessoryservicesinc.com,"WINDLE BEAM, SUSAN",9072401210,sue@accessoryservicesinc.com,"Class 1, Class 2, Class 3",Limited,,Equipment,,,"Class 1, Class 2, Class 3",EASA,3/9/2026,accessoryservices@gci.net
ACCESSORY TECHNOLOGIES CORPORATION,Y4AR,,Y4AR039O,41 MERCEDES WAY  UNIT #34,,,EDGEWOOD,NY,UNITED STATES,11717,6317532282,manny@atcny.com,"QUINTAL, MANUEL",,matt@atcny.com,"QUINTAL, MANUEL",6317532282,manny@atcny.com,"Class 1, Class 2, Class 3",,,"NonDestructiveTst, SpecializedService",,,,"EASA, United Kingdom",3/9/2026,manny@atcny.com
